HMM model,Species name,Order name,Family name,Accession number,Oskar presence,Protein annotations,GeneBank annotations,GFF3 annotations,Genomic fasta file,RNA fasta file,TO DO
Yes,Catajapyx aquilonaris,Diplura,Japygidae,GCA_000934665.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Orchesella cincta,Collembola,Entomobryidae,GCA_001718145.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Yes,Zootermopsis nevadensis,Blattodea,Termopsidae,GCA_000696155.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Nasutitermes exitiosus,Blattodea,Termitidae,GCA_001404035.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Blattella germanica,Blattodea,Ectobiidae,GCA_000762945.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Pediculus humanus corporis,Phthiraptera,Pediculidae,GCA_000006295.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Isoperla grammatica,Plecoptera,Perlodidae,GCA_001676475.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Amphinemura sulcicollis,Plecoptera,Nemouridae,GCA_001676325.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Limnephilus lunatus,Trichoptera,Limnephilidae,GCA_000648945.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Frankliniella occidentalis,Thysanoptera,Thripidae,GCA_000697945.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Mengenilla moldrzyki,Strepsiptera,Mengenillidae,GCA_000281935.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Ephemera danica,Ephemeroptera,Ephemeridae,GCA_000507165.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Baetis rhodani,Ephemeroptera,Baetidae,GCA_001676355.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
